time,text,url
All Day,Inspiring Beauty: 50 Years of Ebony Fashion Fair (Multi-Day Event),http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=13705&view=EventDetails&information_id=25418
All Day,"""Light It Up Blue"" at GW (Multi-Day Event)",http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=4487&view=EventDetails&information_id=8658
All Day,Faculty Registration for Commencement Opens (Multi-Day Event),http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14313&view=EventDetails&information_id=26702
All Day,"Artistry Portrayed: Photographs of DTSBDC's ""Margin"" by Matailong Du, MA '17 (Multi-Day Event)",http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14365&view=EventDetails&information_id=26806
All Day,NEXT Thesis Exhibition (Multi-Day Event),http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14197&view=EventDetails&information_id=26455
4:00 PM - 7:00 PM,Health Professions School Fair,http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14299&view=EventDetails&information_id=26672
6:00 PM - 9:00 PM,"Speakeasy Happy Hour (Portland, OR)",http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14192&view=EventDetails&information_id=26445
6:00 PM - 8:00 PM,Young Alumni Network Wine Tasting (DC),http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14356&view=EventDetails&information_id=26788
7:00 PM - 8:00 PM,Webinar: MA in Organizational Science,http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14140&view=EventDetails&information_id=26341
7:30 PM - 9:00 PM,COMM 1040 Oral Advocacy Showcase and Competition,http://browse.calendar.gwu.edu/EventList.aspx?fromdate=4/25/2017&todate=4/25/2017&display=Day&type=public&eventidn=14003&view=EventDetails&information_id=26047
