event_name_url,date,category
3rd World Congress on Cancer and Prevention Methods (Oncology 2017) (Multi-Day Event),"Wednesday, April 05, 2017",Academic Events
Camilo Jose Vergara: Detroit is No Dry Bones,"Wednesday, April 05, 2017",Academic Events
Milken Institute School of Public Health Research Days Keynote Address and Reception,"Wednesday, April 05, 2017",Academic Events
A Day's Work - Documentary Screening & Panel Discussion,"Wednesday, April 05, 2017",Academic Events
3rd World Congress on Cancer and Prevention Methods (Oncology 2017) (Multi-Day Event),"Thursday, April 06, 2017",Academic Events
Why We Need Intellectual Diversity in Academia,"Thursday, April 06, 2017",Academic Events
3rd World Congress on Cancer and Prevention Methods (Oncology 2017) (Multi-Day Event),"Friday, April 07, 2017",Academic Events
Department of Chemistry Seminar: Dr. David Goldberg,"Friday, April 07, 2017",Academic Events
DC Emancipation Day Distinguished Lecture: Daphne Brooks,"Wednesday, April 12, 2017",Academic Events
Celebration of 70th Anniversary of Jackie Robinson's Integration of Major League Baseball,"Wednesday, April 12, 2017",Academic Events
Department of Chemistry Seminar: Sam Choi,"Friday, April 14, 2017",Academic Events
Crisis in the South China Sea: A Debate on U.S. Policy on the Conflict,"Tuesday, April 18, 2017",Academic Events
Berz Symposium: Religion & Environment,"Wednesday, April 19, 2017",Academic Events
Conference: Remembering Biafra,"Thursday, April 20, 2017",Academic Events
2017 GW New Venture Competition Finals,"Thursday, April 20, 2017",Academic Events
Conference: Remembering Biafra,"Friday, April 21, 2017",Academic Events
Department of Chemistry Seminar: Linwen Zhang,"Friday, April 21, 2017",Academic Events
Philosophy's Thacher Lecture : Perceptual Consciousness as a Mental Activity By Dr. Schellengerg,"Friday, April 21, 2017",Academic Events
"Global Health Lecture: Poverty, Health and Education in Rural India","Monday, April 24, 2017",Academic Events
Department of Environmental and Occupational Health Culminating Experience Presentations,"Monday, April 24, 2017",Academic Events
"""Light It Up Blue"" at GW (Multi-Day Event)","Sunday, April 02, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Monday, April 03, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Tuesday, April 04, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Wednesday, April 05, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Thursday, April 06, 2017",Advocacy & Awareness
Why We Need Intellectual Diversity in Academia,"Thursday, April 06, 2017",Advocacy & Awareness
"Dying In Vein, The Opiate Generation | Auditorium (RSVP)","Thursday, April 06, 2017",Advocacy & Awareness
"Film Screening/Panel Discussion: Dying In Vein, The Opiate Generation","Thursday, April 06, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Friday, April 07, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Saturday, April 08, 2017",Advocacy & Awareness
"""Light It Up Blue"" at GW (Multi-Day Event)","Sunday, April 09, 2017",Advocacy & Awareness
